,text
200,"As a fairly active gamer, I need a computer that is solid and bootup fast."
201,I am planning to replace my old computer and I need the new one to run games fabulously.
202,I am finding a computer to do a couple of gaming so it should run games smoothly with amazing graphics.
203,I work in IT for a living and I am buying myself a economical computer that does not have a reflective screen.
204,I am looking for a new economical computer for myself and it should bootup fast and have a beautiful display.
205,I want to find a computer with high performance-cost ratio that would be perfect to use in trips.
206,I am a console gamer but now I am finding a gaming laptop that has amazing speed and awesome graphics.
207,I need some great specs for my computer.
208,Our business need a computer that comes with a high performance-cost ratio.
209,I plan to do some laptop gaming so it should play games well and fast.
210,A computer with a high performance-cost ratio is what I need.
211,I am finding a replacement for a higher performance-cost ratio.
212,I need a fast computer.
213,I play games so I need a laptop to perform well in those.
214,My old computer doesn't perform games well so I need a new one.
215,I am a video editor and I need a good looking computer.
216,I want a computer that run games without issues.
217,I want a computer that is thinner than my previous computer.
218,I need the best use of my money on a good computer.
219,I need a fast computer.
220,I want a powerful computer to come with a low price.
221,I need a computer that comes with a slim profile DVD burner.
222,I am going back to college later and so I need a laptop with a huge screen and a number pad on the keyboard.
223,Price is what I look into when purchasing a new computer.
224,I want to have the best use of the money I would spend on the computer.
225,I have limited budget so the computer should come with a good price.
226,A fast computer with a good price is what I want.
227,My brother needs a fast computer as his Christmas present.
228,I want a computer that do super fast startup and have a good processor.
229,I need a light computer which can turn on fast and run cool.
230,I want a computer with high performance-cost ratio.
231,I need the computer to boot up fast.
232,I need a computer with a reasonable price.
233,I want a light computer which can runs fast.
234,I need a fast laptop with good configuration.
235,"The computer should boot up and connect to the Wifi in a super fast way, but I don't want the price to be too high and the diplay should be great also."
236,I need a computer with a nice and sleek look and large space for my programmes.
237,I need a few criteria for my new computer.
238,I need a computer with cool extra hard drive that is fast and clear.
239,I want a quick laptop with amazing display.
240,I need a computer with a high performance-cost ratio and a large memory.
241,I need a light computer that runs fast.
242,"I want the computer to stay within a reasonable price range, having a sensible fingerprint sensor and large amount of storage."
243,I want a fast and light computer.
244,I need a computer which is fast and light.
245,The computer should be light for me to carry it around.
246,I love computer with great design.
247,I want the computer to be light enough for me to carry it around.
248,I need the screen to be great enough but not affecting the weight.
249,I want a fast computer with a nice fingerprint scanner to accelerate.
250,I need a computer that is light and start up fast.
251,I need a light computer.
252,The computer should have a light but large enough screen accomplished with speed.
253,The computer should be light.
254,I need a computer which can be opened as soon as possible and have strong wireless connection.
255,I need a fast computer in both typing responsiveness and log in time.
256,I want a quick computer with reasonable price.
257,I need a computer with great screen.
258,I need a good looking computer which stays within my budget.
259,"The computer should be slim, light and looking good."
260,The screen and touch pad should be great for my computer.
261,I need a quick and responsive computer.
262,I need a thin computer with an appealing design and a light weight.
263,I need a fast computer.
264,I need a well-built computer which is light and sleek so I can carry it around.
265,I want a computer that bring up my application quickly and I can work on a large screen with sharp imaging.
266,I need the screen to be nice and big while maintaining a light weight.
267,I need to have plenty of ports on the computer.
268,I want a light computer with a backlit keyboard and a clear bright screen.
269,I need a eye-catching display and a satisfying backlit keyboard for the computer.
270,I need a fast computer.
271,I want to have a new computer that is easy to setup.
272,"I am finding a replacement computer and it should be fast, light and easy to use."
273,My old computer needs replacement and I need a new one with a good screen size and tight and responsive keys.
274,I am looking for a high quality computer with a great price.
275,The computer I want should handle all my needs with a good price.
276,I expect to see some good pictures on the screen.
277,My old computer died so I need a new one immdiately with good picture and sound in a right price.
278,I am purchasing a new computer mainly for gaming so it should play games smoothly and have a gorgeous screen.
279,I am new to gaming laptop and I want some really good red back-lit keys because that looks cool.
280,I cannot play certain games with my friend on my old computer so I need a new laptop that play games well and stay in a good price.
281,I am planning to buy a new computer and I want it to play games well without a high price.
282,The old computer is not satisfying so I want to find a new computer that comes with great value.
283,I need a new computer to go to work so it should be fast and sturdy.
284,I want to have a new gaming laptop and I want a nice display to come with it.
285,Speed is the particular area I look into when purchasing a new computer.
286,I have got some expectations on my new computer as I need an amazing monitor and a good keyboard.
287,I am finding a fantastic bargain for my gaming computer.
288,I need some recommendations for an awesome gaming laptop.
289,I don't want an overheated computer so the cooling system should be quiet and efficient.
290,My dream gaming laptop is the one that runs games well.
291,I would have no complaints as long as the new computer would start up in seconds.
292,I need a present for my husband and I hope it can with a reasonable price.
293,I enjoy playing games and I want a new laptop that is good for gaming with a great price.
294,I am finding a new laptop for gaming and a short boot up time is expected.
295,I am buying a new gaming laptop for my husband and I want a red backlit keyboard so it would be warm and comfortable to his eyes.
296,I don't have a huge budget for my new computer so it should come with a good price.
297,A well-priced computer would be perfect for me.
298,I like to have good design on my new computer and it should own a reasonable price.
299,I am into gaming and I am finding a new computer that is fast and own a gorgeous screen.
300,I have a number of games that I would like to try on my new laptop so it should have a large storage that is great for gaming.
301,I want to play games well on a fast computer.
302,I did a lot of research on my new computer and my wish is to have a fast computer that play games well.
303,Speed is what I look into when purchasing a new computer.
304,I would do a lot of checks to make sure I buy the fastest computer with the best price.
305,I am finding a work only computer that is fast and has plenty of memory.
306,I need a business flagship with a great price.
307,I need a computer that has solid performance with reasonable price.
308,I don't enjoy waiting so I need a computer that startup and shutdown fast.
309,My old computer is too slow and heavy so I want a completely different one.
310,I hope I can afford a fast computer.
311,My son needs a computer with a good screen size for his animation classes.
312,I am finding a new computer for myself that has responsive keys and a beautiful screen.
313,I need a computer with a good hardware.
314,My friend askes me to buy her a lightweight computer.
315,I need a fast computer to do basic home stuff.
316,My wife says she needs a computer that is easy to use and works well with Wifi.
317,I want the new computer to come with a cool touch screen.
318,The money I paid should be exchanged for the best computer.
319,I need a state-of-the-art laptop that comes with a low price.
320,All I need is a computer with a long battery life and a great touch screen.
321,I need a recommendation of a handy and light computer for my sister.
322,My family and I need a fast computer with a high performance-cost ratio.
323,I don't have a huge budget so I need a computer with a good price.
324,My next semester is coming and I am finding a new computer to cope with the work.
325,I am a student and I want a computer that has a powerful quad core and sturdy construction.
326,I pay attention to my gaming experience but I also want a low price for a good computer.
327,It would be enjoyable to have a computer that is speedy with an amazing sound system.
328,I go on a lot of business travell so what I need is a computer that is light and doesn't take up much space.
329,I don’t want my computer to slow down so a no is for those bloatware.
330,I use CAD programmes so I am finding a computer that run those programmes well.
331,I dislike bloatware so it's better to be none of them.
332,I want a replacement for my old computer and I need a new one that comes with amazing build quality.
333,"I would just use the computer for some light use so all I need is fast, cheap and good graphics."
334,I don't have much requirements for a new computer but I need it to run fast and setup easily.
335,I am finding a new computer for myself and I want it to boot up fast and handle several games well.
336,I work at home so it's important for me to have a computer that is fast and priced well.
337,I do a lot of professional tasks so I need a computer that run tons of programmes well with a fair price.
338,I can't use my old computer anymore and I need a new one that is fast and reasonably priced.
339,I am looking for a different brand from my current computer which would be fast and well priced.
340,I am finding a fast computer.
341,I hope my money is well spent on a high quality computer.
342,I am going to buy a new computer and I want it to have decent graphics and storage.
343,I am searching a good computer for school work and I think a computer with great graphic card and plenty of storage would be perfect.
344,I need a computer that comes with a high performance-cost ratio.
345,I am purchasing a new computer and I want it to have good hinges because I broke those of my last computer.
346,I like playing games so games should be able to run fast on the new computer.
347,I am leaving my old computer for my family and finding myself a new computer that run games well.
348,My wife needs a new computer and I am planning to gift her one that have nicely arranged keyboard and low cost.
349,My wife wants to play more demanding games so she needs a computer that handles games well and quick.
350,My husband wants a faster computer that his current one.
351,I like taking my laptop around so I like it to be light and good looking.
352,I do play some kinds of games and I need a new computer that work the games perfectly.
353,I enjoy gaming and hope the new computer works great on that.
354,My grandson wants a new computer that would be great for gaming.
355,A light computer is what I need.
356,Price is what I look into when purchasing a new computer.
357,I hope the money I spent would be exchanged for a good computer.
358,I am finding the best computer with the most reasonable price that can run games smoothly.
359,I have got a number of needs on my new computer so I am hoping for a cheap computer that fits all my needs.
360,I do some light gaming and I am finding an economical computer.
361,A cheap yet powerful computer is what I need.
362,I hope the new computer meet up my expectations with the money I paid.
363,A reasaonably priced computer is what my wife needs.
364,I need to replace my old computer and I need the new one to be cost effective with a big screen.
365,I like sleek looking computer.
366,I want to gift a nicely priced computer to my brother-in-law.
367,Price is an important element when I purchase a new computer.
368,I am on budget gaming but I need a computer that turns on quickly.
369,Specs are important aspect that I look into when purchasing a new computer.
370,I want to play games with my friends so I need a new computer that can do well in that aspect.
371,I don't have a huge budget so the new computer should be cost-effective.
372,I do a lot of research online and I am finding a new computer with a reasonable price.
373,I need a computer that comes with reasonable price and runs games well.
374,Price is what I concern when purchasing a new computer.
375,I want a aesthetically beautiful so I would be happy to carry it around.
376,I like beautiful things so my computer should have awesome looks.
377,My wife would like to have a computer with a high performance-cost ratio.
378,I have a lot of things to be done so I need a quick processor on my computer.
379,I don't plan to use the computer for studying so I just need the computer to play games well.
380,I would do as much research as I could to find the best use of my money for a powerful computer.
381,I need a slim computer with high screen resolution but come with a reasonable price.
382,I would need to have enough RAM to store all my files.
383,"As a college student, I don't have high expectations on a cheap computer."
384,"As a person who is into light gaming and video editing, I need a computer that goes perfect for both the aspect."
385,"I work all time on computer so I am finding a new laptop that is fast, sleek and flat."
386,I am considering changing my old computer and what I want is a computer that run most games well within a reasonable price range.
387,I am finding a beautiful laptop with a good screen size and a full keyboard.
388,I need a computer as a present for my little brother and he like it to be aesthetically pleasing and response fast.
389,I am buying a new computer for myself on Black Friday and I want it to play games well.
390,I need a good computer with good price.
391,I need a computer with high performance-cost ratio.
392,I don't want the computer to be heavy or look dull.
393,I hope there is not much trial software on the computer.
394,"I need a computer which include a CD drive and run fast with Wifi, and of course the price should be reasonable."
395,I want to computer to have a low price.
396,A fast computer with a great screen resolution is what I need.
397,I need the look of the computer to be sleek.
398,I want a light computer.
399,I need a computer that stays within my budget.
400,Our family computer needs a replacement and the new one should come with a right price.
401,I need a new computer that has a high performance-cost ratio.
402,I want to have a light and sturdy computer.
403,"For the money I paid, I hope it come back with a high quality computer."
404,"I am buying a Christmas present and it should be quick, solid and light."
405,I need a laptop that fit in my budget with cool looking and ability to play games without issues.
406,I am finding for a gaming laptop that startup fast and last long with a reasonable price.
407,I want something sleek to play my games well.
408,I do coding and I want a computer with a nicely-spaced backlit keyboard with quiet keys.
409,I will need a laptop for software development and it should have good build quality with a decent battery life.
410,"As an artist as well as a gamer, I need the laptop to be nice looking, thin and light."
411,I would not expect too much for a mid-range computer and all I want is powerful graphic card and backlit keyboard.
412,I play tons of games and I am finding one that has good keyboard and trackpad and screen.
413,"I don't have much requirement for my new computer, it just need to be cheap."
414,I enjoy gaming and I am finding a laptop that perform well in that.
415,I am going to purchase a new computer on Black Friday so what I want is a computer that play games well in a low cost.
416,My household has different needs for a computer and so it should be fast and have great graphics.
417,I am looking for a working laptop for myself and it should look good with a good feel of keyboard.
418,I need the computer to come with Microsoft programmes.
419,I am finding a new computer with nice price and good speed.
420,A fast computer is what I need.
421,My old computer is too slow and I need a new one.
422,I have limited budget on my new computer so it should have a great price.
423,I try to present myself with a computer that has a good price.
424,I surf the internet all day and I am finding a new laptop that do fast in that.
425,I have a number of files that need good memory to store them.
426,I need to use a laptop out of my office hour so it should have good amount of RAM within a limited price.
427,I need some recommendations for a computer that comes with a high performance-cost ratio.
428,I am looking for a new laptop that is fast and comfortable to type on.
429,I do the computer for school work and I want it to come with slicky trackpad and good keyboard layout.
430,My old computer needs replacement and the new one should be fast and has a perfect size.
431,I need a solid hard drive to run everything smoothly.
432,I need a replacement of my old computer that has a modern design and a nice screen.
433,I have just retired and I am finding a computer for my personal use.
434,My daughter does a lot of drawing on her tablet and she needs a handy one with rich colours shown on the screen.
435,"I am in need of a new computer with a nice screen, a convenient fingerprint reader and good battery life."
436,I don't work on my old computer nowadays and I need a computer with bigger keys and better keyboard.
437,I am buying myself a new computer that is fast and built solidly.
438,I am a student and I am finding a tablet for school that has a sleek design and a crisp screen.
439,I need a new computer for myself that is light but has a huge screen with decent graphics.
440,I am taking the recommendations from my friend to find a new computer from Amazon.
441,I am a software developer and I need a fast computer to run my programmes.
442,I am finding a new computer for my personal use that is slim and has a nice keyboard.
443,I am coming from a high end PC and I need a laptop that plays games well.
444,I am looking for a computer that fulfil my data science demand and it should come with an awesome keyboard.
445,I need a new computer that run games greatly.
446,"It is in due time to get a new computer and I want it to be sturdy, slim and light."
447,My old computer needs replacement and I am finding a thin one with awesome design.
448,I want to have a new computer that handles games well and boots up quickly.
449,Some right specs should be installed in the new computer.
450,I will use the computer for gaming and I hope there would be a sharp display and a high refresh rate.
451,My computer doesn't play my games well so I need a new one that plays games with no stutters.
452,Good specs would make the computer more powerful.
453,"I am finding a new laptop that is solid, quick and economical."
454,I need a vivid development platform that is lightweight and has a nice backlit keyboard.
455,I am buying a laptop for video editing and so a large SSD is necessary.
456,I am finding myself a fast computer.
457,I am finding myself a new computer that has a good battery life and runs cool.
458,My old laptop is not working and I am finding a lightweight and fast one with high performance-cost ratio.
459,"I am in need of a new computer that is fast, sleek and economical."
460,I am finding a new computer for myself that is fast and has high internet connection.
461,I need a quiet computer with high performance-cost ratio.
462,I have got a lot of photos and I need a roomy device for that.
463,I don't know if I would bring the laptop outside but anyway being lightweight isn't bad.
464,I am replacing my old computer and the new one should restart quickly with an excellent price.
465,A fast computer with a high performance-cost ratio is what I need.
466,"I am looking for a new computer with great design, great keyboard and awesome sound output."
467,I do video editing so a good video card and a fast processor are expected.
468,I do spreadsheets all day and I want to find myself a computer with a high performance-cost ratio.
469,The only thing I require on my computer is great specs with decent price.
470,I need some good specs on the computer for my business.
471,I want to change my old computer and I need a fast one with excellent battery life.
472,I want to have a fast and quiet computer.
473,I am not having a huge budget and so I need a computer with amazing price.
474,My old computer is not working anymore and I want a new one with sleek design and great display.
475,All I need on a computer is high bootup speed and great graphics.
476,I want a high performance-cost ratio computer which can do fast start-up.
477,"I need a computer which has an excellent keyboard and a great screen, but also not too attractive to eyeballs."
478,"My computer should be fast and accessible, and should have a good graphic performance."
479,I want a computer with good screen and fast booting.
480,The computer I want should have high performance-cost ratio and a normal look.
481,I need a good functioning fan to be along with my computer.
482,I need a powerful computer with solid speakers and good built quality.
483,I want the computer to run smoothly.
484,I need the computer to handle games well.
485,The computer I need is the one which can be opened up and upgraded easily and have a good build quality.
486,I need a cheap computer with solid build quality and awesome cooling system.
487,I want a computer with high performance-cost ratio.
488,A nice cooling stand would be good for my computer.
489,My desire computer should own a great keyboard and a powerful cooling system.
490,I need a computer that can run my games fine and do editing.
491,I want a computer with great colour and viewing angles.
492,The computer I want should handle my games with ease and run super fast.
493,I need a high performance-cost ratio computer.
494,The computer I need would be the one with strong GPU and hardware.
495,I would like to have a computer with long battery life and can run fast and quietly.
496,I want the computer to perform well in games and be perfect for upgraders.
497,I need a plain notebook without those flashy light but still keep a beautiful design.
498,I want a computer that stay in my budget.
499,The computer I need should have a high performance-cost ratio and be solidly constructed.
500,The temperature of the computer should be low while I am using it.
501,I need a big screen for my computer to make it easy to work.
502,The computer I want should have excellent thermals and graphics.
503,I need a laptop with good build.
504,I need the computer to have a clean resolution and audio.
505,I want a computer that have great specs and amazing cooling.
506,I have got a list of requirements for my desire computer.
507,I need a computer that can play games fast and smoothly.
508,I want a computer that is able to run games at a high-ultra setting without getting too hot.
509,The computer should have both reasonable price and performance.
510,The computer I want should have a high performance-cost ratio and a comfortable IPS panel.
511,I need the computer to have high performance-cost ratio and low power consumption and heat.
512,I want the computer to provide great performance with games and stay cool while playing.
513,"I need the computer to do well in gaming and editing, of course with a good price also."
514,I want a computer with long battery life.
515,The computer I will be using should have a high performance-cost ratio.
516,I need the computer to be within reasonable price.
517,I hope the price fit with its performance.
518,I want a high performance-cost ratio computer with a good fingerprint scanner and good keyboard backlighting.
519,I want a fast and responsive computer.
520,I want the computer to be quiet and stay cool while playing games with a high perfomance-cost ratio.
521,I need a computer with long battery life.
522,"The computer I need is the one with high performance-cost ratio, while having good cooling and consistent performance."
523,I need a fast computer.
524,I need the computer to perform great in gaming.
525,A cool computer which can run fast is what I need.
526,A reasonable price is what I consider when buying a new computer.
527,The computer I want should run intense games perfectly and have a high performance-cost ratio.
528,"I want a computer with a high performance-cost ratio, yet it should have efficient cooling and run quietly."
529,I need the computer to keep cool when I am gaming.
530,I want a fast computer.
531,My dream computer is a powerful laptop.
532,I need a computer with high performance-cost ratio.
533,I want my future computer to have a high performance-cost ratio.
534,I want a computer that runs fast.
535,I need a computer with impressing build.
536,A good design and a cool keyboard should be applied to the computer.
537,I want my future computer to have plenty of storage with a high performance-cost ratio.
538,"I need a computer that runs silently with a good battery life, also it should stay within my budget."
539,I need a computer with solid build quality and a reasonable price.
540,I need a sturdy computer with a beautiful screen and above-average sound quality.
541,I want a computer with nice performance-cost ratio.
542,"The computer should have great build quality and specs, but also with a good price."
543,"I need the computer not to look gaudy, but to play games well."
544,I have some criteria for my dream computer.
545,I need a computer with a good trackpad and battery life which can max out any games.
546,The build quality has to be awesome in my computer.
547,I want a well-built computer.
548,I need a good video card to go with my computer.
549,I need a computer with great build quality.
550,I need a good gaming laptop.
551,I have been working in the computer industry and I am finding myself a computer with nice build quality and nice finish.
552,"I need a new computer that is lightweight, quiet and fast."
553,My old tablet finally died and I need a new one that comes with the right price.
554,A light and sturdy computer with a great screen is what I need.
555,My old computer died suddenly and I need a new one that is fast and economical.
556,My must-have feature is a backlit keyboard.
557,I need a fast and lightweight computer.
558,A good touchscreen should be included to the computer.
559,I don't have a big budget so I need a computer that comes with a good price.
560,I need the computer to be light enough that I can carry it around.
561,I am finding a laptop with a high performance-cost ratio.
562,I pay many effort into investigating computers and now I want a sturdy and portable one.
